grade,Year,emp_length,acc_open_past_24mths_x,annual_inc_x,bc_util_x,dti_x,inq_last_6mths_x,mo_sin_old_rev_tl_op_x,mo_sin_rcnt_rev_tl_op_x,mo_sin_rcnt_tl_x,mort_acc_x,mths_since_recent_bc_x,num_accts_ever_120_pd_x,num_actv_bc_tl_x,num_il_tl_x,num_bc_sats_x,open_acc_x,pub_rec_bankruptcies_x,pub_rec_x,recoveries_x,tot_cur_bal_x,total_bc_limit_x
A,2014,5 years,6,324388,39.3,9.35,1,157,3,3,1,3,0,5,23,7,23,0,0,0,524448,89700
B,2014,6 years,3,41500,78.9,26.55,1,180,10,10,3,10,0,4,15,4,12,0,0,0,226755,14900
E,2014,1 year,8,67000,30.3,8.9,1,162,3,3,5,3,1,2,30,3,11,1,1,0,108741,6600
C,2014,< 1 year,9,115000,80,23.01,0,165,1,1,4,1,1,7,30,8,23,0,0,0,365826,30300
C,2014,10+ years,5,41000,67.1,33.75,1,169,9,9,3,9,0,6,2,6,15,0,0,0,35235,17100
D,2014,10+ years,4,90688,72.1,34.41,0,239,5,2,1,29,0,3,5,3,11,0,0,0,301795,21800
B,2014,10+ years,7,32000,51.6,10.58,0,91,4,3,1,4,0,6,2,6,10,0,0,0,88892,17000
D,2014,1 year,6,55000,75.5,21.99,0,103,0,0,0,0,0,7,3,7,11,0,0,0,38099,10600
C,2014,4 years,4,110000,86.4,16.58,2,86,23,5,0,23,0,6,7,7,11,0,0,0,43321,8900
B,2014,7 years,2,30000,0,9.6,0,304,16,10,0,49,0,0,1,2,6,1,1,0,5878,3300
C,2014,3 years,9,68000,9.6,19.78,1,93,5,3,0,5,0,3,34,11,35,0,0,0,93093,27200
B,2014,3 years,7,51000,32,19.43,1,380,3,3,4,5,3,3,0,5,19,0,0,0,190329,14600
B,2014,3 years,5,82000,40.6,26.14,1,148,20,2,2,21,0,2,15,3,14,0,0,0,463303,25000
D,2014,10+ years,6,72800,95.5,37.39,1,179,1,1,1,14,0,8,5,8,20,0,0,0,273361,22300
C,2014,5 years,12,56800,61.2,32.05,1,177,1,1,4,6,0,6,15,6,23,1,1,0,56193,26600
B,2014,10+ years,3,89000,15.7,12.07,0,170,16,8,4,16,3,1,5,2,8,0,0,0,277126,2700
B,2014,2 years,2,55000,7,13.44,0,175,14,9,2,34,0,2,13,3,11,0,0,0,30845,10100
D,2014,7 years,4,54264,87.6,33.02,0,145,5,5,3,5,1,7,8,7,11,0,0,0,242947,21200
C,2014,8 years,5,49028,51.8,12.85,0,156,3,3,1,3,0,3,6,4,8,1,1,0,18252,18600
E,2014,10+ years,3,63200,64,37.93,0,258,2,2,1,2,0,6,1,6,12,0,0,0,169616,41300
B,2014,7 years,5,105000,91.4,13.15,0,154,6,6,3,22,0,4,7,5,15,0,0,0,385618,11900
B,2014,10+ years,7,75000,61.1,27.7,0,274,11,4,1,11,0,7,5,7,13,0,0,0,56431,25500
A,2014,4 years,1,73000,45.9,9.27,0,96,29,20,3,35,1,3,3,6,10,0,0,0,159502,12800
B,2014,10+ years,7,88500,23.1,32.57,0,123,20,10,1,20,0,2,7,7,17,0,0,0,196386,39500
D,2014,10+ years,6,37000,72.3,17.77,0,143,8,8,0,12,0,1,2,2,10,1,1,0,13693,5000
C,2014,10+ years,4,58800,39.1,18.53,0,141,25,2,0,36,0,3,10,3,7,0,0,0,21809,3600
C,2014,6 years,6,72000,76.3,18.47,0,235,7,2,1,7,4,4,13,6,26,0,0,0,306255,11800
B,2014,8 years,4,56500,16.1,14.21,0,165,10,10,2,10,0,2,3,4,13,0,0,0,34543,9200
C,2014,10+ years,15,64000,30.2,20.63,3,199,4,4,1,4,0,9,6,9,20,0,0,0,265188,27900
C,2014,10+ years,4,110000,64.7,18.66,1,315,3,3,5,3,0,3,7,3,8,0,0,0,232008,49000
B,2014,6 years,6,65000,83.5,23.61,0,88,4,4,2,4,1,4,6,4,12,0,0,0,53553,22300
C,2014,10+ years,8,58500,95.7,29.48,1,195,3,3,3,3,2,8,8,8,14,0,0,0,64167,10700
C,2014,9 years,8,98733,68.2,32.94,2,202,3,1,7,5,1,3,16,3,17,1,1,0,526369,5200
A,2014,7 years,7,140000,6.7,9.18,0,287,21,3,6,21,0,5,5,7,14,0,0,0,239064,71100
B,2014,10+ years,8,55000,96.3,24.02,0,157,5,4,2,13,0,3,7,3,12,0,0,0,111409,9900
D,2014,10+ years,7,83000,82.2,33.36,1,246,4,4,6,4,0,12,10,12,23,0,0,0,173150,31900
B,2014,3 years,8,90000,95.4,14.55,0,167,10,8,2,19,3,4,13,4,9,0,0,484,23939,6500
C,2014,10+ years,6,85000,94.5,30.27,0,129,11,11,2,19,1,4,23,4,16,0,0,0,114900,12100
A,2014,10+ years,2,37000,17.5,9.43,1,71,1,1,1,34,0,2,1,3,7,0,0,0,110670,10000
B,2014,8 years,4,115000,62.4,7.81,1,211,7,7,3,7,0,2,1,2,6,1,1,478.25,319786,4600
B,2014,3 years,2,59800,73.2,17.42,0,81,10,10,0,25,0,3,4,3,8,0,0,0,30461,6600
B,2014,2 years,5,78500,63.9,24.48,2,196,6,6,0,6,0,7,16,8,20,0,0,0,109773,31600
B,2014,10+ years,6,100000,35.9,12.96,1,207,4,2,2,4,3,2,9,4,9,1,1,0,114561,7800
B,2014,2 years,9,130000,50.9,17.03,1,156,1,1,8,1,1,4,16,7,23,0,0,0,242416,23000
B,2014,2 years,4,120000,93.3,20.02,0,175,9,9,2,9,0,2,12,2,11,0,0,0,89728,12300
A,2014,10+ years,6,29000,33.3,20.41,0,220,17,9,0,17,0,4,3,6,13,0,0,0,12218,15000
C,2014,10+ years,3,50000,46.9,23.6,0,229,5,5,0,104,0,3,3,3,8,0,0,0,36009,10500
D,2014,3 years,10,46000,100.2,13.13,1,137,0,0,2,51,0,2,12,2,9,0,0,0,157316,3000
F,2014,10+ years,9,140000,76.8,13.6,1,79,4,2,4,4,0,4,11,4,11,0,1,0,319584,15800
C,2014,2 years,2,22000,53.3,21.49,0,246,24,11,0,24,1,3,3,3,9,0,0,0,10730,6900
C,2014,10+ years,5,41690,21.3,22.96,0,111,13,6,5,13,5,2,3,3,8,0,1,0,99330,6100
A,2014,2 years,6,65000,38.4,31.61,1,164,0,0,0,8,0,2,16,2,12,1,1,0,79543,5000
B,2014,5 years,2,118000,50.7,23.29,1,232,3,3,2,26,0,3,3,5,13,0,0,0,406746,45300
D,2014,10+ years,7,43000,97.1,37.23,3,198,8,5,0,14,0,7,15,7,13,0,0,0,26336,9900
A,2014,10+ years,5,170000,73.9,27.67,0,240,17,17,5,17,0,6,14,6,21,0,0,0,373089,59900
B,2014,10+ years,8,60000,68.1,27.38,0,329,2,2,1,36,0,4,4,4,19,0,0,0,186804,13400
B,2014,< 1 year,2,73000,100,26.93,2,190,2,2,0,29,0,2,21,2,21,0,0,0,78500,2300
D,2014,1 year,2,15671,93.5,21.99,0,122,13,13,0,13,0,4,6,5,8,0,0,0,33151,9300
D,2014,10+ years,6,45000,37.8,29.73,1,203,1,1,1,1,1,3,4,5,12,0,0,0,25958,12400
A,2014,10+ years,5,45000,34.1,18.13,2,350,2,2,7,2,0,7,9,10,20,0,0,0,251400,32700
D,2014,10+ years,3,82000,71.6,26.78,0,143,15,15,2,18,0,5,28,5,20,0,0,0,371687,37800
C,2014,10+ years,9,175606,90,13.85,0,113,2,2,3,2,0,12,6,12,20,0,0,0,195241,27000
E,2014,2 years,4,36000,82.4,16.53,0,118,5,4,1,38,0,2,10,2,6,0,0,0,135412,7300
B,2014,7 years,4,85000,75.1,8.29,0,180,9,9,12,11,1,3,8,3,8,1,1,451.05,164904,6300
A,2014,10+ years,2,80000,69.2,14.06,0,216,11,11,0,11,1,6,5,8,16,0,0,0,21138,17500
B,2014,< 1 year,11,35000,72.9,27.02,1,192,1,1,0,15,2,6,3,7,17,1,1,0,26378,7400
